config,step,loss,time,val_loss
PreAffine,10,5.1953206062316895,10.503350973129272,
PreAffine,20,2.4848501682281494,21.205391883850098,
PreAffine,30,3.0274457931518555,31.701662063598633,
PreAffine,40,3.4120020866394043,42.176544189453125,
PreAffine,50,2.9663476943969727,52.66812992095947,
PreAffine,60,3.5671045780181885,63.15443015098572,
PreAffine,70,2.9745092391967773,73.7575991153717,
PreAffine,80,2.9197752475738525,84.32190608978271,
PreAffine,90,2.246885061264038,94.78313517570496,
PreAffine,100,2.2420620918273926,105.17661809921265,
PreAffine,100,,151.1952850818634,2.754648399302515
PreAffine,110,3.4417145252227783,162.19507098197937,
PreAffine,120,2.0806877613067627,172.88262009620667,
PreAffine,130,2.152127504348755,183.64803791046143,
PreAffine,140,2.5544567108154297,194.50017595291138,
PreAffine,150,1.2548097372055054,205.3114550113678,
PreAffine,160,3.163346290588379,216.05278491973877,
PreAffine,170,2.928435802459717,226.79359602928162,
PreAffine,180,3.047323226928711,237.50026392936707,
PreAffine,190,1.8829364776611328,248.22541284561157,
PreAffine,200,2.1591572761535645,259.0356271266937,
PreAffine,200,,303.6955831050873,2.6422851474608406
PreAffine,210,3.1383793354034424,314.08138513565063,
PreAffine,220,1.6101174354553223,324.23667788505554,
PreAffine,230,2.923640251159668,334.3677909374237,
PreAffine,240,2.82149600982666,344.4628429412842,
PreAffine,250,3.742985963821411,354.5753381252289,
PreAffine,260,2.8452699184417725,364.65038800239563,
PreAffine,270,2.2496771812438965,374.8813760280609,
PreAffine,280,2.5912013053894043,384.98690009117126,
PreAffine,290,3.4165985584259033,395.0876739025116,
PreAffine,300,2.2205333709716797,405.22609186172485,
PreAffine,300,,447.858017206192,2.5344487625663565
PreAffine,310,1.4318814277648926,458.1315701007843,
PreAffine,320,2.940406084060669,468.36750078201294,
PreAffine,330,2.3835322856903076,478.4959409236908,
PreAffine,340,2.935614824295044,488.68915605545044,
PreAffine,350,2.748206615447998,498.8304169178009,
PreAffine,360,2.9492602348327637,508.94735288619995,
PreAffine,370,2.318601131439209,519.0033490657806,
PreAffine,380,1.7516597509384155,529.1220948696136,
PreAffine,390,2.585052490234375,539.1711740493774,
PreAffine,400,1.2216293811798096,549.3461430072784,
PreAffine,400,,591.5837700366974,2.0362990970833827
PreAffine,410,2.0999960899353027,601.80544090271,
PreAffine,420,1.552945852279663,611.8784649372101,
PreAffine,430,1.601438283920288,622.3370180130005,
PreAffine,440,1.4704697132110596,633.0439960956573,
PreAffine,450,1.896047830581665,643.7378661632538,
PreAffine,460,1.0356969833374023,654.534154176712,
PreAffine,470,1.1277079582214355,665.2384829521179,
PreAffine,480,1.475009560585022,675.991797208786,
PreAffine,490,1.5982199907302856,686.7116770744324,
PreAffine,500,1.651134729385376,697.3955380916595,
PreAffine,500,,742.1982669830322,1.61348043773639
