config,step,loss,time,val_loss
GatedNorm,10,7.739552021026611,10.097815036773682,
GatedNorm,20,5.931804180145264,20.241579055786133,
GatedNorm,30,4.777830123901367,30.501344919204712,
GatedNorm,40,3.7870893478393555,41.00545883178711,
GatedNorm,50,3.2454781532287598,51.373193979263306,
GatedNorm,60,2.9827678203582764,61.7579140663147,
GatedNorm,70,2.8588931560516357,72.16926693916321,
GatedNorm,80,2.4506564140319824,82.39546179771423,
GatedNorm,90,3.524850845336914,92.71408200263977,
GatedNorm,100,2.49157977104187,102.9646520614624,
GatedNorm,100,,146.41932702064514,2.838001051191556
GatedNorm,110,2.870645523071289,156.78361177444458,
GatedNorm,120,2.4504616260528564,167.01044082641602,
GatedNorm,130,3.6026759147644043,177.33313608169556,
GatedNorm,140,1.6564149856567383,187.5527811050415,
GatedNorm,150,2.6577484607696533,197.8917419910431,
GatedNorm,160,1.6820238828659058,208.14298701286316,
GatedNorm,170,1.8826463222503662,218.5012001991272,
GatedNorm,180,2.918809413909912,228.9948878288269,
GatedNorm,190,2.0091164112091064,239.27079796791077,
GatedNorm,200,2.702183961868286,249.7135169506073,
GatedNorm,200,,294.2859709262848,2.6690059405262185
GatedNorm,210,2.583218812942505,304.7054331302643,
GatedNorm,220,2.9578073024749756,315.01180696487427,
GatedNorm,230,1.5006765127182007,325.2574248313904,
GatedNorm,240,2.407301664352417,335.5110020637512,
GatedNorm,250,3.07399320602417,345.85482692718506,
GatedNorm,260,3.222156286239624,356.11186695098877,
GatedNorm,270,1.2355616092681885,366.4348530769348,
GatedNorm,280,2.0987191200256348,376.65675115585327,
GatedNorm,290,2.6856791973114014,386.9494278430939,
GatedNorm,300,3.0468087196350098,397.2108280658722,
GatedNorm,300,,440.67564272880554,2.602361438638073
GatedNorm,310,2.441950798034668,451.0378968715668,
GatedNorm,320,1.4403785467147827,461.33377599716187,
GatedNorm,330,2.11202073097229,471.66817688941956,
GatedNorm,340,1.493123173713684,481.89319705963135,
GatedNorm,350,2.513803482055664,492.104984998703,
GatedNorm,360,2.121269464492798,502.3529009819031,
GatedNorm,370,2.9459259510040283,512.5722169876099,
GatedNorm,380,2.0716869831085205,522.8627960681915,
GatedNorm,390,2.5864474773406982,533.155770778656,
GatedNorm,400,2.0849242210388184,543.3781039714813,
GatedNorm,400,,586.6020967960358,2.5527914598331614
GatedNorm,410,1.57754647731781,597.0005669593811,
GatedNorm,420,2.763166904449463,607.4612238407135,
GatedNorm,430,1.9630495309829712,620.0202989578247,
GatedNorm,440,3.2360541820526123,632.6221609115601,
GatedNorm,450,1.674212098121643,644.8932328224182,
GatedNorm,460,2.807818651199341,656.9177348613739,
GatedNorm,470,1.8933758735656738,668.2140619754791,
GatedNorm,480,2.0784800052642822,679.5578670501709,
GatedNorm,490,3.5328426361083984,690.392157793045,
GatedNorm,500,2.7971270084381104,701.3957738876343,
GatedNorm,500,,750.5473399162292,2.493269261919846
